rank,repo-name,repo-link,stars,forks,lang,open-issues,description,last-commit
1,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,490392,46315,Markdown,248,Master programming by recreating your favorite technologies from scratch.,2026-02-21T09:34:54Z
2,awesome,https://github.com/sindresorhus/awesome,455359,34234,None,16,😎 Awesome lists about all kinds of interesting topics,2026-04-02T16:30:33Z
3,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,442906,44285,TypeScript,124,"freeCodeCamp.org’s open-source codebase and curriculum. Learn math, programming, and computer science for free.",2026-04-14T21:07:47Z
4,public-apis,https://github.com/public-apis/public-apis,422164,45977,Python,4,A collective list of free APIs,2026-03-18T16:28:22Z
5,free-programming-books,https://github.com/EbookFoundation/free-programming-books,385533,66105,Python,35,:books: Freely available programming books,2026-04-11T10:02:21Z
6,openclaw,https://github.com/openclaw/openclaw,357523,72615,TypeScript,12100,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,2026-04-15T04:01:49Z
7,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,352947,43919,TypeScript,4,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2026-04-14T14:47:17Z
8,system-design-primer,https://github.com/donnemartin/system-design-primer,342806,55390,Python,246,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2026-03-20T01:52:19Z
9,coding-interview-university,https://github.com/jwasham/coding-interview-university,340941,81912,None,73,A complete computer science study plan to become a software engineer.,2025-08-28T14:42:47Z
10,awesome-python,https://github.com/vinta/awesome-python,292354,27676,Python,0,"An opinionated list of Python frameworks, libraries, tools, and resources",2026-04-14T16:43:46Z
11,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,286043,13167,None,0,A list of Free Software network services and web applications which can be hosted on your own servers,2026-04-09T20:32:27Z
12,996.ICU,https://github.com/996icu/996.ICU,275878,20907,None,0,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,2025-08-22T06:01:29Z
13,project-based-learning,https://github.com/practical-tutorials/project-based-learning,263220,34223,None,147,Curated list of project-based tutorials,2024-08-15T05:33:54Z
14,react,https://github.com/facebook/react,244505,50925,JavaScript,821,The library for web and native user interfaces.,2026-04-14T17:18:36Z
15,linux,https://github.com/torvalds/linux,228909,61607,C,0,Linux kernel source tree,2026-04-15T03:38:03Z
16,Python,https://github.com/TheAlgorithms/Python,219609,50330,Python,174,All Algorithms implemented in Python,2026-04-13T22:10:46Z
17,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,215012,12862,None,0,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",2024-11-19T14:00:38Z
18,vue,https://github.com/vuejs/vue,209814,33836,TypeScript,359,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",2024-10-10T07:24:15Z
19,computer-science,https://github.com/ossu/computer-science,203030,25275,HTML,15,🎓 Path to a free self-taught education in Computer Science!,2026-03-27T18:00:43Z
20,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195829,31085,JavaScript,138,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2026-02-18T09:20:06Z
21,tensorflow,https://github.com/tensorflow/tensorflow,194724,75275,C++,954,An Open Source Machine Learning Framework for Everyone,2026-04-15T03:46:14Z
22,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186175,26375,Shell,148,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",2026-04-13T09:31:03Z
23,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184432,33594,None,0,A book series (2 published editions) on the JS language.,2026-02-15T04:36:44Z
24,claw-code,https://github.com/ultraworkers/claw-code,184333,108119,Rust,0,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.,2026-04-13T12:44:53Z
25,CS-Notes,https://github.com/CyC2018/CS-Notes,184153,51069,None,129,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,2024-08-21T09:40:10Z
26,n8n,https://github.com/n8n-io/n8n,184084,56803,TypeScript,371,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",2026-04-14T23:51:21Z
27,vscode,https://github.com/microsoft/vscode,183844,39196,TypeScript,14742,Visual Studio Code,2026-04-15T03:57:13Z
28,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183437,46220,Python,242,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2026-04-15T03:54:55Z
29,Python-100-Days,https://github.com/jackfrued/Python-100-Days,181388,55622,Jupyter Notebook,526,Python - 100天从新手到大师,2026-04-13T02:42:42Z
30,flutter,https://github.com/flutter/flutter,175967,30248,Dart,12235,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,2026-04-15T02:55:12Z
31,bootstrap,https://github.com/twbs/bootstrap,174151,78986,MDX,287,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2026-04-14T22:59:20Z
32,gitignore,https://github.com/github/gitignore,173387,82645,None,0,A collection of useful .gitignore templates,2026-04-08T03:04:22Z
33,Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,172015,16536,Batchfile,4,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",2026-03-09T07:34:17Z
34,awesome-go,https://github.com/avelino/awesome-go,169989,13140,Go,16,"A curated list of awesome Go frameworks, libraries and software",2026-04-14T13:44:45Z
35,ollama,https://github.com/ollama/ollama,169018,15589,Go,2152,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",2026-04-15T01:29:06Z
36,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162367,30277,Python,2409,Stable Diffusion web UI,2026-03-02T07:00:53Z
37,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160509,14795,None,125,"Master the command line, in one page",2024-06-25T18:13:44Z
38,prompts.chat,https://github.com/f/prompts.chat,159728,20921,HTML,9,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",2026-04-14T04:05:24Z
39,transformers,https://github.com/huggingface/transformers,159383,32871,Python,1070,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training.",2026-04-15T03:45:46Z
40,FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,157227,2681,HTML,0,DigitalPlat FreeDomain: Free Domain For Everyone,2026-03-26T05:54:09Z
41,yt-dlp,https://github.com/yt-dlp/yt-dlp,156904,12921,Python,1879,A feature-rich command-line audio/video downloader,2026-04-10T23:48:52Z
42,everything-claude-code,https://github.com/affaan-m/everything-claude-code,156322,24265,JavaScript,37,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",2026-04-15T03:59:45Z
43,JavaGuide,https://github.com/Snailclimb/JavaGuide,154957,46154,Java,62,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,2026-04-15T03:51:50Z
44,superpowers,https://github.com/obra/superpowers,152638,13236,Shell,143,An agentic skills framework & software development methodology that works.,2026-04-15T01:30:03Z
