rank,project_name,repo_link,stars,forks,language,open_issues,description,last_commit
1,datasharing,https://github.com/jtleek/datasharing,6718,242765,,308,The Leek group guide to data sharing,2024-08-07T08:29:32Z
2,Spoon-Knife,https://github.com/octocat/Spoon-Knife,13732,156863,HTML,2664,This repo is for demonstration purposes only.,2024-08-21T15:25:42Z
3,ProgrammingAssignment2,https://github.com/rdpeng/ProgrammingAssignment2,888,143736,R,202,Repository for Programming Assignment 2 for R Programming on Coursera,2024-08-14T21:14:33Z
4,claw-code,https://github.com/ultraworkers/claw-code,184333,108119,Rust,0,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.,2026-04-13T12:44:53Z
5,first-contributions,https://github.com/firstcontributions/first-contributions,53482,101131,,36,🚀✨ Help beginners to contribute to open source projects,2026-04-15T02:41:47Z
6,css-exercises,https://github.com/TheOdinProject/css-exercises,2622,90062,HTML,0,,2026-04-12T18:55:37Z
7,SmartThingsPublic,https://github.com/SmartThingsCommunity/SmartThingsPublic,2640,87560,Groovy,72,SmartThings open-source DeviceType Handlers and SmartApps code,2023-07-18T18:42:27Z
8,Complete-Python-3-Bootcamp,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,29491,87453,Jupyter Notebook,151,Course Files for Complete Python 3 Bootcamp Course on Udemy,2025-06-24T04:54:16Z
9,gitignore,https://github.com/github/gitignore,173387,82645,,0,A collection of useful .gitignore templates,2026-04-08T03:04:22Z
10,coding-interview-university,https://github.com/jwasham/coding-interview-university,340941,81912,,73,A complete computer science study plan to become a software engineer.,2025-08-28T14:42:47Z
11,bootstrap,https://github.com/twbs/bootstrap,174151,78986,MDX,287,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2026-04-14T22:59:20Z
12,tensorflow,https://github.com/tensorflow/tensorflow,194724,75275,C++,954,An Open Source Machine Learning Framework for Everyone,2026-04-15T03:46:14Z
13,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor,2730,73090,JavaScript,174,nightscout web monitor,2026-03-25T22:32:31Z
14,openclaw,https://github.com/openclaw/openclaw,357523,72615,TypeScript,12100,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,2026-04-15T04:01:49Z
15,docs,https://github.com/github/docs,19291,66744,TypeScript,105,The open-source repo for docs.github.com,2026-04-14T23:38:54Z
16,free-programming-books,https://github.com/EbookFoundation/free-programming-books,385533,66105,Python,35,:books: Freely available programming books,2026-04-11T10:02:21Z
17,linux,https://github.com/torvalds/linux,228909,61607,C,0,Linux kernel source tree,2026-04-15T03:38:03Z
18,dio-lab-open-source,https://github.com/digitalinnovationone/dio-lab-open-source,8556,60329,Jupyter Notebook,6734,Repositório do lab “Contribuindo em um Projeto Open Source no GitHub” da Digital Innovation One.,2026-04-14T22:58:40Z
19,NextChat,https://github.com/ChatGPTNextWeb/NextChat,87707,59856,TypeScript,691,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,2025-12-02T17:05:02Z
20,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,109344,58664,Jupyter Notebook,9,"21 Lessons, Get Started Building with Generative AI",2026-04-12T10:34:34Z
21,n8n,https://github.com/n8n-io/n8n,184084,56803,TypeScript,371,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",2026-04-14T23:51:21Z
22,opencv,https://github.com/opencv/opencv,87117,56556,C++,2573,Open Source Computer Vision Library,2026-04-14T14:30:04Z
23,ExData_Plotting1,https://github.com/rdpeng/ExData_Plotting1,299,56473,,76,Plotting Assignment 1 for Exploratory Data Analysis,2024-07-04T20:52:28Z
24,Python-100-Days,https://github.com/jackfrued/Python-100-Days,181388,55622,Jupyter Notebook,526,Python - 100天从新手到大师,2026-04-13T02:42:42Z
25,system-design-primer,https://github.com/donnemartin/system-design-primer,342806,55390,Python,246,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2026-03-20T01:52:19Z
26,ant-design,https://github.com/ant-design/ant-design,97772,54587,TypeScript,1260,An enterprise-class UI design language and React UI library,2026-04-15T01:48:37Z
27,tutorials,https://github.com/eugenp/tutorials,37359,53651,Java,17,Getting Started with Spring Boot 3:,2026-04-14T22:58:21Z
28,CS-Notes,https://github.com/CyC2018/CS-Notes,184153,51069,,129,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,2024-08-21T09:40:10Z
29,react,https://github.com/facebook/react,244505,50925,JavaScript,821,The library for web and native user interfaces.,2026-04-14T17:18:36Z
30,Python,https://github.com/TheAlgorithms/Python,219609,50330,Python,174,All Algorithms implemented in Python,2026-04-13T22:10:46Z
31,it-cert-automation-practice,https://github.com/google/it-cert-automation-practice,1002,46351,Python,123,Google IT Automation with Python Professional Certificate - Practice files,2024-08-21T14:58:21Z
32,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,490392,46315,Markdown,248,Master programming by recreating your favorite technologies from scratch.,2026-02-21T09:34:54Z
33,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183437,46220,Python,242,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2026-04-15T03:54:55Z
34,JavaGuide,https://github.com/Snailclimb/JavaGuide,154957,46154,Java,62,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,2026-04-15T03:51:50Z
35,javascript-exercises,https://github.com/TheOdinProject/javascript-exercises,1602,46079,JavaScript,0,,2026-04-07T11:00:09Z
36,public-apis,https://github.com/public-apis/public-apis,422164,45977,Python,4,A collective list of free APIs,2026-03-18T16:28:22Z
37,kickstart.nvim,https://github.com/nvim-lua/kickstart.nvim,30207,45447,Lua,15,A launch point for your personal nvim configuration,2026-04-15T00:45:10Z
38,models,https://github.com/tensorflow/models,77675,45153,Python,1082,Models and examples built with TensorFlow,2026-04-14T22:37:26Z
39,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,442906,44285,TypeScript,124,"freeCodeCamp.org’s open-source codebase and curriculum. Learn math, programming, and computer science for free.",2026-04-14T21:07:47Z
40,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,352947,43919,TypeScript,4,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2026-04-14T14:47:17Z
41,qmk_firmware,https://github.com/qmk/qmk_firmware,20283,43763,C,323,Open-source keyboard firmware for Atmel AVR and Arm USB families,2026-04-14T10:34:16Z
42,edgetunnel,https://github.com/zizifn/edgetunnel,8393,43469,JavaScript,96,Running V2ray inside edge/serverless runtime,2024-11-27T09:26:03Z
43,kubernetes,https://github.com/kubernetes/kubernetes,121715,42854,Go,1823,Production-Grade Container Scheduling and Management,2026-04-15T02:22:30Z
44,DO180-apps,https://github.com/RedHatTraining/DO180-apps,295,42709,JavaScript,1,DO180 Repository for Sample Applications,2024-06-12T07:37:41Z
45,patchwork,https://github.com/jlord/patchwork,1156,42143,Rich Text Format,29,All the Git-it Workshop completers!,2025-12-27T18:07:17Z
46,spring-boot,https://github.com/spring-projects/spring-boot,80410,41893,Java,496,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",2026-04-14T12:35:09Z
47,JavaScript30,https://github.com/wesbos/JavaScript30,29092,41820,HTML,0,30 Day Vanilla JS Challenge,2025-01-07T12:29:05Z
48,websites,https://github.com/RikkaApps/websites,344,40039,Vue,1573,Websites for Rikka apps.,2024-08-21T11:46:47Z
49,vscode,https://github.com/microsoft/vscode,183844,39196,TypeScript,14742,Visual Studio Code,2026-04-15T03:57:13Z
50,bitcoin,https://github.com/bitcoin/bitcoin,88816,38903,C++,354,Bitcoin Core integration/staging tree,2026-04-14T11:08:46Z
51,spring-framework,https://github.com/spring-projects/spring-framework,59847,38866,Java,310,Spring Framework,2026-04-14T14:31:13Z
52,core,https://github.com/home-assistant/core,86029,37245,Python,2919,:house_with_garden: Open source home automation that puts local control and privacy first.,2026-04-15T03:46:10Z
53,RepData_PeerAssessment1,https://github.com/rdpeng/RepData_PeerAssessment1,108,36907,,7,Peer Assessment 1 for Reproducible Research,2024-08-17T20:06:41Z
54,swot,https://github.com/leereilly/swot,1171,36751,Ruby,0,Archived — SWOT delighted millions of students with GitHub discounts and saved bazillions of review hours. Follow JetBrains/swot  for future updates.,2025-09-13T20:17:03Z
55,three.js,https://github.com/mrdoob/three.js,111933,36324,JavaScript,391,JavaScript 3D Library.,2026-04-15T03:55:01Z
56,node,https://github.com/nodejs/node,116736,35340,JavaScript,1782,Node.js JavaScript runtime ✨🐢🚀✨,2026-04-14T22:09:33Z
57,jekyll-now,https://github.com/barryclark/jekyll-now,8396,35095,CSS,155,"Build a Jekyll blog in minutes, without touching the command line.",2024-08-19T16:05:35Z
58,cpython,https://github.com/python/cpython,72330,34423,Python,7183,The Python programming language,2026-04-15T00:15:27Z
59,awesome,https://github.com/sindresorhus/awesome,455359,34234,,16,😎 Awesome lists about all kinds of interesting topics,2026-04-02T16:30:33Z
60,project-based-learning,https://github.com/practical-tutorials/project-based-learning,263220,34223,,147,Curated list of project-based tutorials,2024-08-15T05:33:54Z
61,system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,135200,33980,,90,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",2026-03-28T16:58:37Z
62,vue,https://github.com/vuejs/vue,209814,33836,TypeScript,359,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",2024-10-10T07:24:15Z
63,django,https://github.com/django/django,87267,33807,Python,0,The Web framework for perfectionists with deadlines.,2026-04-14T11:32:08Z
64,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184432,33594,,0,A book series (2 published editions) on the JS language.,2026-02-15T04:36:44Z
65,simple-java-maven-app,https://github.com/jenkins-docs/simple-java-maven-app,534,33232,Shell,0,For an introductory tutorial on how to use Jenkins to build a simple Java application with Maven.,2026-02-17T16:42:59Z
66,transformers,https://github.com/huggingface/transformers,159383,32871,Python,1070,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training.",2026-04-15T03:45:46Z
67,material-ui,https://github.com/mui/material-ui,98157,32684,JavaScript,1480,Material UI: Comprehensive React component library that implements Google’s Material Design. Free forever.,2026-04-14T18:17:49Z
68,github-readme-stats,https://github.com/anuraghazra/github-readme-stats,79040,32557,JavaScript,162,:zap: Dynamically generated stats for your github readmes,2026-03-31T00:50:07Z
69,odoo,https://github.com/odoo/odoo,50097,32092,Python,3632,Odoo. Open Source Apps To Grow Your Business.,2026-04-15T03:56:33Z
